concordances	Lemma form	Annotations	
bacchettato il rappresentante del Governo: « < Prendo >  atto  che il sottosegretario non ha risposto 	prendere atto	1	
trasferta per una settimana a scattare foto e a < prendere >  appunti  per poi riprodurle virtualmente 	prendere appunti	0	
disegno di legge n. 2869. La Commissione < prende >  atto  . La seduta termina alle ore 16,20 	prendere atto	1	
Hanno votato sì 205 Hanno votato no 242). < Prendo >  atto  che l' onorevole Germanà non è riuscito 	prendere atto	1	
votato sì 212 Hanno votato no 261). Pag. 71 < Prendo >  atto  che l' onorevole Nicotra non è riuscito 	prendere atto	1	
porto abbinata alle strutture " a terra. < Prendiamo >  atto  che, a paragone del progetto Teseco 	prendere atto	1	
presidente dell' Authority per la privacy non può < prendere >  posizione  politica. Ma si lascia scappare 	prendere posizione	1	
consolidare il paradiso in terra. Noi non ci siamo < presi >  impegni  di questo genere. Non abbiamo mai 	prendere impegni	0	
proposte di legge in titolo, quindi, intendono < prendere >  atto  di questa inversione e porre le condizioni 	prendere atto	1	
 spaccare ancora meglio i mob! Spero che < prenderanno >  corpo  el quest cioe' il grosso dell' exp 	prendere corpo	1	
Felipe Pérez Roque, è arrivato a Ginevra per < prendere >  parte  ai lavori della 58 ° sessione della 	prendere parte	1	
 ai passi erranti, O piuttosto al notar, < prese >  partito  : E così fatto più d' un miglio 	prendere partito	1	
 il voto di fiducia. Il capo dello Stato < prende >  atto  e chiede che si vada subito in Parlamento 	prendere atto	1	
Liberti Documento di alcuni specialisti Avendo < preso >  visione  del testo dell' art. 37 del ­ lo 	prendere visione	1	
gennaio 2000. Traduzione: Rossato, avendo già < preso >  decisioni  in fase d' indagine preliminare 	prendere decisioni	1	
turbine di polvere si radunò intorno a lei, < prese >  forma  umana. E le spiattellò tutta la verità 	prendere forma	1	
 per la costruzione del rigassificatore; < prendono >  atto  della larga condivisione che Enti, 	prendere atto	1	
. Lì nessuno mi disturba e le mie storie < prendono >  vita  ". Nel bunker è nato Neyla (Edizioni 	prendere vita	1	
(dopo averle ben scolate); aspettate che < prendano >  colore  , versate in tegame anche il vino 	prendere colore	0	
Università degli Studi di Roma Tor Vergata. Vi < prendono >  parte  alcune decine di medici mozambicani 	prendere parte	1	
 epoche ormai dimenticate. Tuttavia, più < prendeva >  confidenza  con quei luoghi e con gli abitanti 	prendere confidenza	1	
 la realizzazione di gemellaggi ai quali < prendano >  parte  enti appartenenti alle nuove Repubbliche 	prendere parte	1	
tal fine l' interessato ha il diritto di < prendere >  visione  presso la sede dove sono conservati 	prendere visione	1	
ministro Sirchia e di chiunque altro se ne < prenda >  cura  . E' stato dimesso lo scorso 4 marzo 	prendere cura	1	
nelle GI. Il 28 mi presento a scuola per < prendere >  servizio  , essendo a conoscenza del fatto 	prendere servizio	1	
senesi. Da lì Francesco di Giorgio Martini < prese >  spunto  per determinare quelle forme che 	prendere spunto	1	
gennaio 2000 e 14 febbraio 2000. VI. Le parti < prendono >  atto  della conclusione del Piano di recupero 	prendere atto	1	
 accadere. Una grandezza che ci chiama a < prender >  parte  . L' essere umano, fin dalla nascita 	prendere parte	1	
qualcosa sotto i denti poi un salto in Atf per < prendere >  accordi  sui miniabbonamenti e sui biglietti 	prendere accordi	0	
Cancedda. Giusto in tempo per scongiurare che < prendesse >  fuoco  l' appartamento. Prima di essere  	prendere fuoco	0	
frontiera che riceve la domanda dÕasilo, < prende >  nota  delle generalit  fornite dal richiedente 	prendere nota	1	
Bologna. Pera e Casini non stanno affatto < prendendo >  tempo  , facevano sapere ieri dall ´ entourage 	prendere tempo	1	
Sovietica "), Caravita precisa di non voler < prendere >  posizione  né sulla questione relativa ai 	prendere posizione	1	
riconoscere che è un essere vivente e misterioso, < prendere >  coscienza  della sua presenza utilizzando 	prendere coscienza	1	
nazionali, frangiati d' oro. II) Doversi < prendere >  nota  del presente provvedimento nel Libro 	prendere nota	1	
 o dei capelli. Né era stato sufficiente < prendere >  atto  da servizi giornalistici di un crescente 	prendere atto	1	
disinfettata e piano piano si è alzata anche lei. < Presa >  coscienza  di sè, si è guardata intorno, 	prendere coscienza	1	
taglio come di lametta. Ogni sospetto può < prendere >  corpo  . L' operazione avvenne al tempo  	prendere corpo	1	
sono mai stati nella storia etiopi che vi < prendessero >  parte  , al contrario dei keniani ke vantano 	prendere parte	1	
 un circolo formato dagli altri iniziati < prendevano >  posto  lui, lo ierofante e l' assistente 	prendere posto	1	
rappresentanti dei gruppi. La Commissione < prende >  atto  . La seduta termina alle 9.10. SEDE 	prendere atto	1	
 europee e americane; - dal 1985 al 1987 < prende >  parte  al tour europeo della griot Kanja 	prendere parte	1	
espressivo significato etico. Ciò in Italia sta < prendendo >  forma  e sostanza con una nuova cultura  	prendere forma	1	
Europa. Questo non vuol dire che non si possa < prendere >  spunto  da drammi antichi per creare opere 	prendere spunto	1	
loro funzione sia quella di sostituire il < prendere >  appunti  , mentre trascurano gli inviti  	prendere appunti	0	
tra i membri delle Comunità, ci ha fatto < prendere >  coscienza  della testimonianza che gli altri 	prendere coscienza	1	
 ha chiesto di essere indagato per poter < prendere >  conoscenza  delle carte processuali. Marianne 	prendere conoscenza	0	
 settore. Il primo incontro, a cui hanno < preso >  parte  Ericsson, Hp e Italtel, si è tenuto 	prendere parte	1	
eseguiti i lavori; t) di avere nel complesso < preso >  conoscenza  di tutte le circostanze generali 	prendere conoscenza	1	
spiega Gabriele Di Bella - è costretto a < prendere >  visione  di filmati che si riferiscono a 	prendere visione	1	
delegazione della Commissione. La Commissione < prende >  atto  . Indagine conoscitiva sull' Agenda 	prendere atto	1	
capacità di condurre azioni conseguenti, < prendendo >  decisioni  individuali e collettive, assumendo 	prendere decisioni	1	
infiammazione, tra cui la proteina C-reattiva. Hanno < preso >  parte  allo studio ENACT - 1 (Evaluation 	prendere parte	1	
esistenza di due percorsi. Noi ne abbiamo < preso >  atto  . Nemmeno sono stato io, non siamo 	prendere atto	1	
dalla " nostra " aula di informatica, per < prendere >  nota  di realtà diverse, mescolando competenze 	prendere nota	1	
 gratificazione. Insegnare significa far < prendere >  coscienza  di contenuti, far ragionare e 	prendere coscienza	1	
 ne illuminava ogni gesto. Iniziò così a < prender >  forma  ciò che gli riempiva il petto, le 	prendere forma	1	
pochi. Diventa insomma difficile, mentre < prende >  piede  il clima bellico, dare senso vero 	prendere piede	1	
serie di eventi buffi e insignificanti può < prendere >  forma  un intero mondo. Letture da " I cani 	prendere forma	1	
dell' articolo 2112 del codice civile. Nel < prendere >  atto  delle dichiarazioni del rappresentante 	prendere atto	1	
bozza del testo per quanti sono impediti nel < prendere >  appunti  . Alcuni insegnanti hanno esteso 	prendere appunti	0	
 di un' emotività devastante, che gli fa < prendersi >  carico  di tutti i mali del mondo. " Leggi 	prendere carico	1	
approvata la legge 431, l' associazione aveva < preso >  posizione  denunciando vari aspetti della 	prendere posizione	1	
eseguiti i lavori; p) di avere nel complesso < preso >  conoscenza  di tutte le circostanze generali 	prendere conoscenza	0	
bussola e di un barometro. Nel 1801 Fulton < prese >  accordi  con il governo francese per farsi 	prendere accordi	0	
in modo proprio e nel rispetto di tutti, < prendendo >  visione  del regolamento eventualmente presente 	prendere visione	1	
nel quale voi avrete un giorno diritto di < prendere >  posto  . Un tale privilegio deve tanto meno 	prendere posto	1	
più vitali che mai, storie orrorifiche che < prendono >  spunto  dalla vita di tutti i giorni. Soltanto 	prendere spunto	1	
ringrazio, senatore Turroni. La Presidenza < prende >  atto  delle sue osservazioni. Come lei sa 	prendere atto	1	
politico, è concetto che con Vico inizia a < prendere >  piede  , come ben visto da E. Paci; senza 	prendere piede	1	
constatare che anche la sinistra inizi a < prendere >  posizione  su questa grave carenza infrastrutturale 	prendere posizione	1	
TRASPORTI DELLA REGIONE MARCHE " affinché siano < presi >  provvedimenti  a tutela della salute pubblica 	prendere provvedimenti	0	
1997 - Supplemento Ordinario n. 136 Abbiamo < preso >  visione  della circolare che le varie Prefetture 	prendere visione	1	
intendere dal Popolo, non merita ascolto: io < prendo >  atto  di ciò che ha fatto e della gente  	prendere atto	1	
Hanno votato sì 187 Hanno votato no 214). < Prendo >  atto  che l' onorevole Mondello non è riuscita 	prendere atto	1	
orientamenti del Governo. La Commissione < prende >  atto  . IN SEDE CONSULTIVA (2437) Conversione 	prendere atto	1	
televisiva ESPN. Il 2001 ha visto Tony Hawk < prendere >  parte  ai Summer X-Games dove ha concorso 	prendere parte	1	
 e gli ex funzionari del governo avevano < preso >  parte  alle violazioni dei diritti umani 	prendere parte	1	
Gran lavoratore, pragmatico, realistico, sa < prendere >  decisioni  difficili, ama decidere e dirigere 	prendere decisioni	1	
di porsi quesiti di tal genere. Armellini < prende >  posizione  al riguardo denunciando l' imprescindibilità 	prendere posizione	1	
disgregherà tutto l' assetto europeo. Gli europei < prenderanno >  atto  della necessità di una pacificazione 	prendere atto	1	
 questo il titolo del film in questione < prende >  spunto  dalle figure dei due mostri alieni 	prendere spunto	1	
fatto sono i generali gli unici in grado di < prendersene >  cura  adeguatamente. Ecco che la tela di 	prendere cura	1	
dalla data del licenziamento ». PRESIDENTE. < Prendo >  atto  che l' onorevole Mazzocchi accetta 	prendere atto	1	
Mezzogiorno ': L' associazione dei consumatori < prende >  posizione  sul Piano traffico e spiega che 	prendere posizione	1	
Presidente, signora Ministro, onorevoli colleghi, < prendo >  atto  delle dichiarazioni rilasciate or  	prendere atto	1	
Invitiamo il sindaco e la giunta comunale a < prendere >  posizione  con chiarezza e pubblicamente 	prendere posizione	1	
www.impattoambientale.net Ogni persona interessata può < prendere >  visione  in questo sito delle pratiche sottoposte 	prendere visione	1	
singolo Paese, ma un « modello » che può < prendere >  piede  . Uso personale e autoritario dei 	prendere piede	1	
spagnola, ma ben presto, nella sua mente, < prese >  forma  l' idea di una storia più ambiziosa 	prendere forma	1	
 non è allarmismo, è realismo. Se non si < prenderà >  coscienza  del significato complessivo di 	prendere coscienza	1	
cadenza lampo (5 minuti per partita). Vi < prenderanno >  parte  non solo scacchisti provetti e appassionati 	prendere parte	1	
organizzativa. Bancaperta Nel corso del 1998 ha < preso >  corpo  uno dei pilastri che stavano alla 	prendere corpo	1	
 essa. Di tale esibizione si deve subito < prendere >  nota  sui detti documenti. 2. Gli ufficiali 	prendere nota	1	
consequenziali, del cui presunto ammontare può essere < presa >  visione  presso l' UFFICIO SEGRETERIA GENERALE 	prendere visione	1	
riunitosi nei giorni scorsi ha deciso di < prendere >  provvedimenti  . Il prefetto di Varese Alfonso 	prendere provvedimenti	0	
proposito dell' occultismo. Essa più volte < prende >  posizione  contro la magia, l' evocazione 	prendere posizione	1	
 500 gr 700 gr anche 400 grvisto che voi < prendete >  pesci  dal kilo in su ... ovviamente pescando 	prendere pesci	0	
 la capacità di scegliere, di creare, di < prendere >  decisioni  individuali in relazione all' 	prendere decisioni	1	
pienamente uno. Su tutti gli altri sono stati < presi >  impegni  politici che, in qualche caso sono 	prendere impegni	0	
sottoscrizione di un protocollo di intesa che < prende >  atto  di un analogo accordo siglato a livello 	prendere atto	1	
 Delibera del 28 settembre L' Esecutivo, < preso >  atto  dei chiarimenti e della documentazione 	prendere atto	1	
 si stavano dirigendo nella capitale per < prendere >  parte  a un incontro della loro Congregazione 	prendere parte	1	
contraddistingue, come se le loro caratteristiche < prendessero >  vita  propria. Inoltre pur essendo dei non 	prendere vita	1	
consentire alla grazia dell' Amore] che poi < prende >  corpo  nelle scelte ulteriori eticamente 	prendere corpo	1	
h). Del resto,  ciascun lavoratore deve < prendersi >  cura  della propria sicurezza e della propria 	prendere cura	1	
effetti. Art. 33.: Il sysop ha il potere di < prendere >  provvedimenti  contro gli utenti purche' 	prendere provvedimenti	0	
 in cui viveva o il fatto che nessuno si < prendesse >  cura  di lui? Una circostanza, però, smentita 	prendere cura	1	
trasferisce in California a Los Angeles per < prendere >  parte  alla serie televisiva " In Living 	prendere parte	1	
 Addirittura fa capire che l' iniziativa < prese >  corpo  ben prima della caduta di Prodi,  	prendere corpo	1	
104/1992. DICHIARAZIONE A VERBALE - Le parti, < preso >  atto  del disposto dell' art. 9,3 ° comma 	prendere atto	1	
) non sono del tutto sicura che in banca < prendano >  gente  che ha fatto solo le superiori (magari 	prendere gente	0	
mamma era un' insegnante di musica. Butch < prese >  lezioni  di piano, ma quando era al sesto 	prendere lezioni	0	
rimanere lettera morta, lo si dica e se ne < prenda >  atto  . Il patto fra il governo e gli italiani 	prendere atto	1	
così come degli abitanti del luogo che si < prendevano >  cura  dei feriti e dei soldati nemici feriti 	prendere cura	1	
nei modi seguenti: a) Comparto alberghi: < preso >  atto  dell' esistenza di un meccanismo già 	prendere atto	1	
tentare ... e i miei giochi continueranno a < prendere >  polvere  . AGGIORNAMENTO - metroid prime 	prendere polvere	0	
Hanno votato sì 177 Hanno votato no 240). < Prendo >  atto  che il dispositivo di voto dell' onorevole 	prendere atto	1	
 Risi, " Maradona ", e che in passato ha < preso >  parte  al film " Nuovo cinema paradiso " 	prendere parte	1	
di amore possibile; a Stephanie chiese di < prendersi >  cura  della sua famiglia. Anche Amber fece 	prendere cura	1	
Amministrazione, della quale il Tribunale non può che < prendere >  atto  , è venuto meno l' unico elemento  	prendere atto	1	
 senza un filo di trucco. " Non riesci a < prendere >  sonno  , vero? ", la distogliechiede all' 	prendere sonno	1	
Bindi n. 9/3200 - bis - B / 17. PRESIDENTE. < Prendo >  atto  che i presentatori dell' ordine del 	prendere atto	1	
Fistarol n. 9/3200 - bis - B / 46. PRESIDENTE. < Prendo >  atto  che l' onorevole Fistarol non insiste 	prendere atto	1	
giorno come raccomandazione. PRESIDENTE. < Prendo >  atto  che l' onorevole Vascon non insiste 	prendere atto	1	
funzionari preposti alle stesse, al solo scopo di < prendere >  conoscenza  delle concrete modalità di svolgimento 	prendere conoscenza	0	
questo lo scopo di un ciclo di iniziative che < prendono >  spunto  dalla data del 10 dicembre? giornata 	prendere spunto	1	
hanno spedito ed invece non lo fanno, oppure < prendono >  soldi  per una spedizione costosa ed invece 	prendere soldi	0	
Codacons calabrese ha evidentemente voglia di < prendere >  parte  all' agone elettorale, dal momento 	prendere parte	1	
TERMINE PER LA PRESENTAZIONE DELLE OFFERTE Per < prendere >  parte  alla gara, le Imprese dovranno far 	prendere parte	1	
 ritieni che io non debba proseguire, io < prendo >  atto  e non proseguo. LEONARDO ANIMALI ( 	prendere atto	1	
abituato ad un grado di esplicità (?) maggiore. < prendo >  atto  con piacere comunque che tu dici di 	prendere atto	1	
protezione civile. Gaspare GIUDICE, presidente, < preso >  atto  dei chiarimenti forniti dal rappresentante 	prendere atto	1	
sono: favorevole sulla regolarità tecnica. < Preso >  atto  che la Circoscrizione n. 8, alla quale 	prendere atto	1	
un testo del quale il deputato non poteva < prendere >  conoscenza  se non essendo membro della  	prendere conoscenza	0	
la sua autonomia e la sua indipendenza, e < prende >  possesso  del mondo. E si rinnova il metodo 	prendere possesso	0	
il valore di circa 22 miliardi di lire.   < Prendo >  spunto  da un documento televisivo a cura 	prendere spunto	1	
secondo me è perchè la sua parte oscura ha < preso >  piede  . IL COMUNE, IN PROVINCIA DI NAPOLI 	prendere piede	1	
info@effeefferacing.it Giovane realtà Effe Effe Racing < prende >  vita  nel 1999. Si inserisce nel vasto panorama 	prendere vita	1	
Libia. Sembra che da Malta sia più facile. < Prendere >  contatti  con un passeur dipende se sei  	prendere contatti	0	
partecipazione alla gara  Allegato n. 2: < presa >  visione  del progetto e dei luoghi  Allegato 	prendere visione	1	
persona del Prof. Elvio Mattioli. Dopo aver < preso >  atto  della normativa concorsuale (Legge 	prendere atto	1	
agente in ritiro dell' ex KGB che avrebbe < preso >  parte  ai piani di liberazione. Il fenomeno 	prendere parte	1	
graduatoria formata gli Uffici competenti, < preso >  atto  del contingente loro assegnato, concedono 	prendere atto	1	
 sin dal mattino frena. « L ´ Italia non < prenderà >  decisioni  unilaterali », assicura. E comunque 	prendere decisioni	1	
formula originaria attorno alla quale l' album < prende >  forma  : suono sporco + voce acida lontana 	prendere forma	1	
 di Corso di Studio e di Dipartimento) a < prendere >  posizione  sui provvedimenti governativi 	prendere posizione	1	
calce alla lista della sezione e di essi è < presa >  nota  nel verbale. Art. 49 [T.U. delle leggi 	prendere nota	1	
inglese che, a loro dire, si rifiutava di < prendere >  atto  della sconfitta. Hitler aveva rinunciato 	prendere atto	1	
posta cos & # xEC;: mentre dormi riesci a < prendere >  coscienza  senza svegliarti? in altere parole 	prendere coscienza	1	
lattuga, fiori e fragole imparando cos  a < prendersi >  cura  dei frutti della natura. Una volta 	prendere cura	1	
di là e al di fuori di noi. Se anche voi < prenderete >  atto  di questa condizione, una collaborazione 	prendere atto	1	
Alexzizou - Mar 19 Apr 2005, 10:18 Oggetto: Io < prenderei >  esempio  dagli stadi inglesi, ci sono le 	prendere esempio	1	
che la Commissione, da lui presieduta, ha < preso >  atto  della nota inviata dal Pres. COSSU 	prendere atto	1	
rappresentanti dei lavoratori nelle imprese; < prendendo >  atto  della considerevole espansione delle 	prendere atto	1	
varia le sue capacità ... La scuola deve < prendere >  atto  di queste diversità e inserirle in 	prendere atto	1	
il ' ' Valzer dei Fiori' ' di Ciajkovskij < prenderanno >  vita  tra i tocchi della bacchetta del maestro 	prendere vita	1	
Cosa c' e' di strano che ognuno cominci a < prendere >  iniziative  che mirano esclusivamente al 	prendere iniziative	0	
indipendenza, più di 10.000 persone hanno < preso >  parte  a una marcia organizzatadalla Chiesa 	prendere parte	1	
bigotte. (non ti sto psicanalizzando, sto < prendendo >  atto  di una situazione). Ed eccoci al discorso 	prendere atto	1	
 considerare la classica come un lusso e < prendere >  provvedimenti  di conseguenza. - oppure  	prendere provvedimenti	0	
Bianco a Wojnicz. Della sua educazione si < prese >  cura  la duchessa Grzymislawa, la madre  	prendere cura	1	
ciascun individuo affermi un' opinione e < prenda >  posizione  per poter far fronte comune con 	prendere posizione	1	
 riconoscimento che la narrazione che ha < preso >  vita  è una tra le diverse e, teoricamente 	prendere vita	1	
piu' di me ce la fai se lo vuoi sì che puoi < prendi >  fiato  e vai vai che ce la fai Sai che c' 	prendere fiato	1	
artisti durante gli Anni Sessanta in Italia ". < Prende >  parte  alla mostra " Arte contemporanea  	prendere parte	1	
riconosca l' anomalia di queste elezioni, non ha < preso >  provvedimenti  , lasciando che la macchina 	prendere provvedimenti	0	
Nello scorso mese di luglio, inoltre, ha < preso >  avvio  il progetto " Nuova economia del  	prendere avvio	1	
operator col quale avevano viaggiato ed hanno < preso >  alloggio  separatamente, allo Sheraton Hotel 	prendere alloggio	0	
. (DIGILIO, int. 4.1.1996, f. 2).  " " < Prendo >  visione  della fotografia in fotocopia allegata 	prendere visione	1	
un " tavolo di crisi " regionale al quale < prendano >  parte  la Regione Piemonte, la Provincia 	prendere parte	1	
insieme ai compagni: il pivot ieri non ha < preso >  parte  all' allenamento pomeridiano e i  	prendere parte	1	
 diritto di indire assemblee e quello di < prendervi >  parte  siano in capo per legge a soggetti 	prendere parte	1	
ha appena partecipato. Nella società sta < prendendo >  piede  , afferma il docente di Filosofia 	prendere piede	1	
Prof. Pierluigi LELLI CHIESA. La Commissione < prende >  atto  , in base all' elenco fornito dall' 	prendere atto	1	
presenza di un' autorità, di qualcuno che < prende >  decisioni  arbitrarie riguardo alla nostra 	prendere decisioni	1	
urgenza di " pascere il gregge di Dio "; di < prendersi >  cura  dell' uomo, la cui liberazione è costata 	prendere cura	1	
in ora sempre di piu. Insieme a noi dovrà < prendere >  parte  all ` azione anche la parlamentare 	prendere parte	1	
amore è l' occasione unica di maturare, di < prendere >  forma  , di inventare in se stessi un mondo 	prendere forma	1	
sufficientemente chiaro. Non bisogna farsi < prendere >  prigionieri  dalla parole: Chiaramente Rutelli 	prendere prigionieri	0	
 retata operata dalle truppe naziste che < prendono >  possesso  della città. L' 11 settembre 1944 	prendere possesso	0	
disputa teologica con quella Anglicana. Per < prendere >  tempo  , il Primo Ministro del Governo Federale 	prendere tempo	1	
risanamento ambientale. In Italia i Comuni che < prenderanno >  parte  all' iniziativa chiuderanno determinate 	prendere parte	1	
Commercio in cattedra Conoscere la teoria, ma < prendere >  dimestichezza  con la pratica. È questo  	prendere dimestichezza	0	
per i pareri della Commissione bilancio, < preso >  atto  delle dichiarazioni rese dal rappresentante 	prendere atto	1	
 Unioncamere e InfoCamere. Ad esso hanno < preso >  parte  il Sottosegretario al ministero di 	prendere parte	1	
 ". Non è un caso che le parole di Croce < prendano >  spunto  dal saggio di Shelley A Defence  	prendere spunto	1	
spogliazione che ci ha donato la salvezza. Maria < prende >  coscienza  di essere stata collocata dalla 	prendere coscienza	1	
 petrolio (8) ecc., tutte cose che hanno < preso >  forma  nell' immaginario italiano e occidentale 	prendere forma	1	
maggio 1995). Al tempo stesso, la Cassazione, < prendendo >  atto  del " diritto vivente " e della sua 	prendere atto	1	
 uomini e donne, dichiariamo qui che non < prenderemo >  parte  all ´ oppressione del popolo palestinese 	prendere parte	1	
vari passaggi. A ottobre dell' anno scorso < prendo >  accordi  con un docente per una tesina triennale 	prendere accordi	0	
anticipo. La FLC Cgil ha affermato che a < prendersi >  cura  dell' educazione dei bambini devono 	prendere cura	1	
 della cultura medievale, cominciarono a < prendere >  vita  forme parallele di carattere puramente 	prendere vita	1	
durante il quale le parti interessate possono < prendere >  conoscenza  del piano di esecuzione e possono 	prendere conoscenza	1	
collaborazione tra alcune scuole di teatro, Passaggi < prende >  spunto  da un racconto di Beckett, Basta 	prendere spunto	1	
abitazione (via Po 41, Lecce). I Commissari hanno < preso >  visione  del bando di valutazione comparativa 	prendere visione	1	
 un' ora abbondante di gioco si inizia a < prendere >  confidenza  con il sistema di controllo, 	prendere confidenza	1	
